pedido_id,cliente_id,fecha_pedido,monto_total,estado
228,17,2025-11-06,2705.23,Completado
229,17,2025-07-17,2165.72,Completado
230,17,2025-10-28,1456.45,Completado
231,17,2026-02-16,2008.72,Completado
232,18,2025-03-13,20139.01,Completado
233,18,2026-05-11,15492.97,Completado
234,18,2025-06-09,21011.06,Completado
235,18,2025-09-15,22650.36,Completado
236,18,2025-10-09,12629.13,Completado
237,18,2025-06-05,14948.48,Completado
238,18,2026-04-15,22276.41,Completado
239,18,2025-01-02,8460.63,Completado
240,19,2025-03-29,13767.61,Completado
241,19,2025-03-26,19096.68,Completado
242,19,2026-03-28,21690.35,Cancelado
243,19,2025-11-18,22546.84,Completado
244,19,2026-05-01,24054.97,Completado
245,19,2026-03-08,12983.51,Completado
246,19,2025-02-10,18765.09,Completado
247,19,2025-04-29,8451.05,Completado
248,19,2025-03-11,18929.73,Completado
249,19,2026-02-23,21896.54,Completado
250,19,2025-09-25,22026.82,Completado
251,19,2025-06-02,12557.08,Completado
252,19,2026-04-01,21155.19,Completado
253,19,2025-03-28,13005.92,Completado
254,19,2026-01-11,21255.9,Completado
255,20,2025-09-28,8598.99,Completado
256,20,2025-06-20,6587.2,Completado
257,20,2025-10-20,5817.85,Completado
258,20,2025-11-30,8844.51,Cancelado
259,20,2026-05-13,9304.01,Completado
260,20,2025-12-15,3128.73,Completado
261,20,2026-02-01,8705.38,Completado
262,20,2025-03-31,6879.25,Completado
263,20,2026-03-10,8041.42,Completado
264,20,2026-02-02,3958.2,Completado
265,20,2025-07-09,8125.29,Completado
266,20,2025-10-20,7655.26,Completado
267,20,2025-08-17,8866.75,Completado
268,20,2025-09-03,6632.42,Completado
269,20,2026-01-01,8166.24,Completado
270,20,2025-12-14,8396.9,Completado
271,20,2025-11-19,5020.86,Completado
272,20,2025-06-18,8050.73,Completado
273,20,2026-01-01,6332.35,Completado
274,20,2025-10-29,3945.01,Completado
275,20,2025-11-02,3218.28,Completado
276,21,2025-11-01,8874.24,Completado
277,21,2026-03-02,10629.43,Completado
278,21,2025-05-14,9277.34,Completado
279,21,2025-10-05,19983.73,Completado
280,21,2025-03-27,12188.83,Completado
281,21,2025-10-17,8039.77,Pendiente
282,21,2025-06-12,18033.92,Completado
283,21,2025-04-15,21726.31,Pendiente
284,21,2025-03-19,24154.04,Completado
285,21,2025-12-30,9473.99,Pendiente
286,22,2025-11-05,20903.61,Completado
287,22,2025-12-24,24669.81,Completado
288,22,2026-03-04,11760.56,Cancelado
289,22,2025-07-05,8670.26,Completado
290,22,2025-12-25,24989.01,Completado
291,22,2025-09-03,23563.3,Completado
292,22,2025-10-04,20427.4,Completado
293,22,2026-05-03,24507.99,Completado
294,22,2025-08-30,20666.1,Completado
295,22,2025-09-20,8629.13,Completado
296,22,2025-09-25,10049.64,Completado
297,22,2026-03-29,17014.51,Completado
298,22,2025-07-18,13359.94,Completado
299,22,2026-01-05,16842.86,Completado
300,22,2025-09-25,11960.31,Completado
301,23,2025-08-16,868.06,Completado
302,23,2025-12-01,2028.68,Completado
303,23,2025-08-21,830.35,Completado
304,23,2026-03-15,2335.3,Completado
305,23,2026-03-06,3949.07,Completado
306,23,2025-09-16,1564.09,Completado
307,23,2025-12-02,1750.41,Completado
308,23,2025-12-06,1547.54,Completado
309,23,2026-01-22,3713.09,Completado
310,23,2026-05-14,2053.22,Completado
311,23,2026-01-16,3839.88,Completado
312,23,2026-01-27,3943.46,Completado
313,23,2025-07-24,3691.92,Cancelado
314,23,2026-01-28,3971.74,Completado
315,23,2025-12-08,3481.04,Completado
316,23,2026-03-13,2440.6,Completado
317,23,2026-02-24,2029.09,Completado
318,24,2026-04-13,21613.08,Completado
319,24,2026-02-25,23024.36,Completado
320,24,2026-03-23,10956.22,Completado
321,24,2026-01-19,16350.17,Cancelado
322,24,2025-07-28,21869.16,Completado
323,24,2025-11-22,20713.82,Completado
324,24,2025-10-01,17861.47,Completado
325,24,2025-11-07,14649.89,Completado
326,24,2025-08-23,23108.72,Pendiente
327,24,2026-01-11,21761.77,Completado
328,25,2026-03-27,5859.17,Completado
329,25,2026-04-21,8063.94,Completado
330,25,2025-09-19,4541.28,Completado
331,25,2025-11-02,3430.62,Completado
332,25,2025-12-06,8772.77,Completado
333,25,2025-09-22,6960.12,Completado
334,25,2026-05-02,6648.82,Completado
335,25,2025-11-13,8954.07,Completado
336,25,2026-01-29,5338.06,Completado
337,25,2026-02-10,7760.99,Completado
338,25,2026-02-17,4110.24,Completado
339,25,2026-04-19,3204.73,Completado
340,26,2026-02-01,13697.02,Completado
341,26,2025-11-15,21905.44,Completado
342,26,2025-09-06,8108.56,Completado
343,26,2025-10-10,13549.37,Completado
344,26,2026-04-05,14403.82,Completado
345,26,2026-02-04,10183.63,Completado
346,26,2025-11-07,15348.09,Completado
347,26,2025-10-24,11051.45,Completado
348,26,2026-03-09,10953.81,Completado
349,26,2026-04-01,10828.42,Completado
350,26,2026-03-06,8984.65,Completado
351,26,2026-03-23,22816.13,Pendiente
352,26,2026-03-17,20744.08,Completado
353,26,2025-09-01,9115.64,Completado
354,26,2025-11-12,21919.36,Completado
355,26,2025-09-20,10701.95,Completado
356,26,2025-08-29,15245.08,Completado
357,27,2026-02-06,13072.37,Completado
358,27,2026-02-24,19568.49,Completado
359,27,2025-09-29,22756.92,Pendiente
360,27,2026-03-05,15349.69,Completado
361,27,2026-03-29,22575.12,Pendiente
362,27,2026-01-27,12661.66,Cancelado
363,28,2025-11-30,3661.12,Completado
364,28,2026-04-10,1441.15,Completado
365,29,2025-12-25,3565.95,Completado
366,29,2026-02-17,1309.59,Completado
367,29,2026-03-10,3285.11,Completado
368,29,2026-01-26,3235.28,Completado
369,29,2025-12-31,3746.71,Completado
370,30,2025-12-22,2340.87,Completado
371,30,2025-12-24,2743.38,Completado
372,30,2025-12-16,1441.68,Completado
373,30,2026-02-08,2884.86,Completado
374,30,2026-04-16,3352.19,Completado
375,30,2026-02-17,2286.72,Completado
376,30,2026-02-27,2335.8,Completado
377,31,2026-02-07,8299.41,Pendiente
378,31,2026-05-09,8070.0,Completado
379,31,2026-02-03,4694.32,Cancelado
380,31,2026-03-14,6376.49,Completado
381,32,2026-03-23,21188.68,Completado
382,32,2026-04-15,16801.1,Completado
383,33,2026-02-08,8564.45,Completado
384,33,2026-01-31,13475.61,Pendiente
385,33,2026-04-09,19720.9,Completado
386,33,2026-04-17,8700.12,Completado
387,33,2026-04-23,18819.31,Completado
388,33,2026-01-15,18111.2,Completado
389,34,2026-05-05,3792.65,Completado
390,34,2026-04-13,3365.53,Completado
391,35,2026-01-24,7625.74,Completado
392,35,2026-01-23,8721.08,Completado
393,35,2026-01-20,3285.28,Completado
394,35,2026-01-31,3571.41,Completado
395,36,2026-02-13,6354.95,Completado
396,36,2026-02-19,9831.06,Completado
397,36,2026-02-08,9102.83,Completado
398,36,2026-03-04,6487.37,Completado
399,36,2026-02-18,7572.84,Completado
400,37,2026-04-17,2881.04,Completado
401,37,2026-03-24,1505.8,Completado
402,38,2026-03-06,2280.39,Completado
403,38,2026-03-30,2130.9,Completado
404,39,2026-03-24,3153.12,Completado
405,39,2026-04-13,2538.56,Completado
406,39,2026-04-30,2203.57,Completado
407,39,2026-04-25,3594.95,Completado
408,39,2026-03-26,2896.03,Cancelado
409,39,2026-05-13,1949.28,Completado
410,40,2026-04-30,22211.97,Completado
411,40,2026-04-16,20169.02,Completado
412,40,2026-04-13,18753.19,Completado
